Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_soc_bus.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  6 18:11 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* FSDB WARNING: The FSDB file already exists. Overwriting the FSDB file may crash the programs that are using this file.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/soc_peripheral_bus.fsdb'
*Verdi* : Begin traversing the scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : End of traversing.
*Verdi* : Begin traversing the MDAs under scope (soc_peripheral_bus_tb), layer (0).
*Verdi* : Enable +mda and +packedmda dumping.
*Verdi* : End of traversing the MDAs.
Time=1515000: CPU READ REQUEST - addr=0x00000038, ready=0
Time=1515000: FLASH READ - addr=0x00000039, data=0x07
Time=1525000: CPU READ REQUEST - addr=0x00000038, ready=0
Time=1525000: FLASH READ - addr=0x0000003a, data=0x20
Time=1535000: CPU READ REQUEST - addr=0x00000038, ready=0
Time=1535000: FLASH READ - addr=0x0000003b, data=0x00
Time=1545000: CPU READ REQUEST - addr=0x00000038, ready=1
Time=1545000: FLASH READ - addr=0x0000003c, data=0x63
Time=1555000: CPU READ REQUEST - addr=0x0000003c, ready=1
Time=1555000: FLASH READ - addr=0x0000003c, data=0x63
Time=1565000: CPU READ REQUEST - addr=0x0000003c, ready=1
Time=1575000: CPU READ REQUEST - addr=0x0000003c, ready=0
Time=1585000: CPU READ REQUEST - addr=0x0000003c, ready=0
Time=1585000: FLASH READ - addr=0x0000003c, data=0x63
Time=1595000: CPU READ REQUEST - addr=0x0000003c, ready=0
Time=1595000: FLASH READ - addr=0x0000003d, data=0x84
Time=1605000: CPU READ REQUEST - addr=0x0000003c, ready=0
Time=1605000: FLASH READ - addr=0x0000003e, data=0xb6
Time=1615000: CPU READ REQUEST - addr=0x0000003c, ready=0
Time=1615000: FLASH READ - addr=0x0000003f, data=0x00
Time=1625000: CPU READ REQUEST - addr=0x0000003c, ready=1
