Command: /tmp/cpu_v_build_kid/simv -l vlogs/sim_pipeline_full.log +vcs+flush+all
Chronologic VCS simulator copyright 1991-2018
Contains Synopsys proprietary information.
Compiler version O-2018.09-SP2_Full64; Runtime version O-2018.09-SP2_Full64;  Mar  4 12:18 2026
*Verdi* Loading libsscore_vcs201809.so
FSDB Dumper for VCS, Release Verdi_O-2018.09-SP2, Linux x86_64/64bit, 02/21/2019
(C) 1996 - 2019 by Synopsys, Inc.
*Verdi* : Create FSDB file '/tmp/cpu_v_build_kid/pipeline_full.fsdb'
*Verdi* : Begin traversing the scope (cpu_pipeline_full_tb), layer (0).
Time=2455000: PC=0x000000b8, inst=0x0000006f
Time=2465000: PC=0x000000b8, inst=0x00000013
Time=2475000: PC=0x000000b8, inst=0x0000006f
Time=2485000: PC=0x000000b8, inst=0x0000006f
Time=2495000: PC=0x000000b8, inst=0x00000013
Time=2505000: PC=0x000000b8, inst=0x0000006f
Time=2515000: PC=0x000000b8, inst=0x0000006f
Time=2525000: PC=0x000000b8, inst=0x00000013
Time=2535000: PC=0x000000b8, inst=0x0000006f
Time=2545000: PC=0x000000b8, inst=0x0000006f
Time=2555000: PC=0x000000b8, inst=0x00000013
Time=2565000: PC=0x000000b8, inst=0x0000006f
Time=2575000: PC=0x000000b8, inst=0x0000006f
Time=2585000: PC=0x000000b8, inst=0x00000013
Time=2595000: PC=0x000000b8, inst=0x0000006f
Time=2605000: PC=0x000000b8, inst=0x0000006f
Time=2615000: PC=0x000000b8, inst=0x00000013
Time=2625000: PC=0x000000b8, inst=0x0000006f
Time=2635000: PC=0x000000b8, inst=0x0000006f
Time=2645000: PC=0x000000b8, inst=0x00000013
Time=2655000: PC=0x000000b8, inst=0x0000006f
Time=2665000: PC=0x000000b8, inst=0x0000006f
Time=2675000: PC=0x000000b8, inst=0x00000013
Time=2685000: PC=0x000000b8, inst=0x0000006f
Time=2695000: PC=0x000000b8, inst=0x0000006f
Time=2705000: PC=0x000000b8, inst=0x00000013
Time=2715000: PC=0x000000b8, inst=0x0000006f
Time=2725000: PC=0x000000b8, inst=0x0000006f
Time=2735000: PC=0x000000b8, inst=0x00000013
Time=2745000: PC=0x000000b8, inst=0x0000006f
Time=2755000: PC=0x000000b8, inst=0x0000006f
Time=2765000: PC=0x000000b8, inst=0x00000013
Time=2775000: PC=0x000000b8, inst=0x0000006f
Time=2785000: PC=0x000000b8, inst=0x0000006f
Time=2795000: PC=0x000000b8, inst=0x00000013
Time=2805000: PC=0x000000b8, inst=0x0000006f
Time=2815000: PC=0x000000b8, inst=0x0000006f
Time=2825000: PC=0x000000b8, inst=0x00000013
Time=2835000: PC=0x000000b8, inst=0x0000006f
Time=2845000: PC=0x000000b8, inst=0x0000006f
Time=2855000: PC=0x000000b8, inst=0x00000013
Time=2865000: PC=0x000000b8, inst=0x0000006f
Time=2875000: PC=0x000000b8, inst=0x0000006f
Time=2885000: PC=0x000000b8, inst=0x00000013
Time=2895000: PC=0x000000b8, inst=0x0000006f
Time=2905000: PC=0x000000b8, inst=0x0000006f
Time=2915000: PC=0x000000b8, inst=0x00000013
Time=2925000: PC=0x000000b8, inst=0x0000006f
Time=2935000: PC=0x000000b8, inst=0x0000006f
Time=2945000: PC=0x000000b8, inst=0x00000013
Time=2955000: PC=0x000000b8, inst=0x0000006f
Time=2965000: PC=0x000000b8, inst=0x0000006f
Time=2975000: PC=0x000000b8, inst=0x00000013
Time=2985000: PC=0x000000b8, inst=0x0000006f
Time=2995000: PC=0x000000b8, inst=0x0000006f
Time=3005000: PC=0x000000b8, inst=0x00000013
Time=3015000: PC=0x000000b8, inst=0x0000006f
Time=3025000: PC=0x000000b8, inst=0x0000006f
Time=3035000: PC=0x000000b8, inst=0x00000013
Time=3045000: PC=0x000000b8, inst=0x0000006f
Time=3055000: PC=0x000000b8, inst=0x0000006f
Time=3065000: PC=0x000000b8, inst=0x00000013
Time=3075000: PC=0x000000b8, inst=0x0000006f
Time=3085000: PC=0x000000b8, inst=0x0000006f
Time=3095000: PC=0x000000b8, inst=0x00000013
Time=3105000: PC=0x000000b8, inst=0x0000006f
Time=3115000: PC=0x000000b8, inst=0x0000006f
Time=3125000: PC=0x000000b8, inst=0x00000013
Time=3135000: PC=0x000000b8, inst=0x0000006f
Time=3145000: PC=0x000000b8, inst=0x0000006f
Time=3155000: PC=0x000000b8, inst=0x00000013
Time=3165000: PC=0x000000b8, inst=0x0000006f
Time=3175000: PC=0x000000b8, inst=0x0000006f
Time=3185000: PC=0x000000b8, inst=0x00000013
Time=3195000: PC=0x000000b8, inst=0x0000006f
